종목코드,종목명,종가,대비,등락률,상장시가총액
247540,에코프로비엠,489200,22100,4.73,1.12E+07
91990,셀트리온헬스케어,60900,200,0.33,9631632
66970,엘앤에프,249900,6100,2.5,8978811
293490,카카오게임즈,61400,1900,3.19,4829245
28300,HLB,44000,-2950,-6.28,4693580
263750,펄어비스,62700,100,0.16,4027525
68760,셀트리온제약,80500,1200,1.51,3033325
112040,위메이드,87000,8000,10.13,2920891
278280,천보,269700,2700,1.01,2697000
35760,CJ ENM,113100,3100,2.82,2480187
196170,알테오젠,57300,1900,3.43,2443701
58470,리노공업,158100,800,0.51,2409819
253450,스튜디오드래곤,77500,1000,1.31,2326099
96530,씨젠,44100,650,1.5,2303166
5290,동진쎄미켐,42800,250,0.59,2200540
357780,솔브레인,272000,200,0.07,2115770
108320,LX세미콘,127800,4800,3.9,2078578
86520,에코프로,82100,1400,1.73,2007417
35900,JYP Ent.,56600,2200,4.04,2009158
240810,원익IPS,39300,700,1.81,1928997
237690,에스티팜,102200,800,0.79,1922257
41510,에스엠,70300,1500,2.18,1671973
25900,동화기업,82000,200,0.24,1656497
222800,심텍,50700,700,1.4,1615005
64760,티씨케이,137700,2100,1.55,1607648
145020,휴젤,123200,600,0.49,1525888
56190,에스에프에이,41850,-550,-1.3,1502782
34230,파라다이스,16350,50,0.31,1486913
67630,HLB생명과학,15600,-800,-4.88,1489770
137400,피엔티,61200,1200,2,1391761
78600,대주전자재료,89900,1500,1.7,1391705
39030,이오테크닉스,106100,2100,2.02,1307104
195940,HK이노엔,43650,-200,-0.46,1261681
67160,아프리카TV,108000,4000,3.85,1241435
32500,케이엠더블유,31300,350,1.13,1246394
166090,하나머티리얼즈,62200,-100,-0.16,1228616
3380,하림지주,10350,150,1.47,1159258
298380,에이비엘바이오,24000,1200,5.26,1142784
98460,고영,16650,400,2.46,1143102
53800,안랩,113500,2700,2.44,1136573
48410,현대바이오,28700,50,0.17,1132732
214150,클래시스,17450,-50,-0.29,1130353
7390,네이처셀,17800,200,1.14,1114941
36540,SFA반도체,6840,70,1.03,1124908
214370,케어젠,104500,600,0.58,1122644
78340,컴투스,88000,3800,4.51,1132245
215200,메가스터디교육,92000,0,0,1091293
122870,와이지엔터테인먼트,56400,900,1.62,1049180
30190,NICE평가정보,16950,650,3.99,1029116
36930,주성엔지니어링,21150,1150,5.75,1020471
213420,덕산네오룩스,40950,50,0.12,1016837
141080,레고켐바이오,41950,1150,2.82,1019522
144510,지씨셀,63400,1300,2.09,1001742
85660,차바이오텍,17750,600,3.5,998763
68240,다원시스,28250,250,0.89,978312
86450,동국제약,22000,100,0.46,978120
250,삼천당제약,43200,-600,-1.37,983579
90460,비에이치,28250,-100,-0.35,963425
131290,티에스이,86400,-200,-0.23,955707
22100,포스코 ICT,6150,80,1.32,935014
84370,유진테크,40950,800,1.99,938412
95700,제넥신,37400,1400,3.89,939188
200130,콜마비앤에이치,30700,700,2.33,906987
39200,오스코텍,29650,1550,5.52,895623
290650,엘앤씨바이오,39200,200,0.51,889248
272290,이녹스첨단소재,44500,1200,2.77,895592
151910,SBW생명과학,4995,50,1.01,884785
222080,씨아이에스,14400,-200,-1.37,884700
74600,원익QnC,32600,-1050,-3.12,856989
84990,헬릭스미스,22200,100,0.45,836703
86900,메디톡스,129300,1400,1.09,847700
214450,파마리서치,82900,0,0,838279
100090,삼강엠앤티,22350,250,1.13,828664
64550,바이오니아,31150,600,1.96,803991
84850,아이티엠반도체,35050,550,1.59,794862
218410,RFHIC,28950,600,2.12,775467
140860,파크시스템스,112000,700,0.63,777186
46890,서울반도체,12650,300,2.43,737563
69080,웹젠,21000,50,0.24,741529
