종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","67400","-300","-0.44","4.02363344E8"
"373220","LG에너지솔루션","444000","4500","1.02","1.03896E8"
"000660","SK하이닉스","108000","1000","0.93","7.8624255E7"
"207940","삼성바이오로직스","847000","4000","0.47","6.0284378E7"
"035420","NAVER","288000","7000","2.49","4.7246136E7"
"051910","LG화학","585000","28000","5.03","4.1296521E7"
"005380","현대차","189500","2000","1.07","4.0490121E7"
"006400","삼성SDI","575000","-6000","-1.03","3.9539605E7"
"035720","카카오","85000","1100","1.31","3.7747492E7"
"000270","기아","85700","2100","2.51","3.4739639E7"
"005490","POSCO홀딩스","289000","-5000","-1.70","2.5196995E7"
"105560","KB금융","60400","400","0.67","2.4906091E7"
"028260","삼성물산","121000","500","0.41","2.2613337E7"
"068270","셀트리온","160500","3500","2.23","2.259324E7"
"055550","신한지주","43050","-150","-0.35","2.2081814E7"
"012330","현대모비스","218500","12500","6.07","2.0664221E7"
"096770","SK이노베이션","215500","5500","2.62","1.9926329E7"
"323410","카카오뱅크","40650","-650","-1.57","1.9359824E7"
"034730","SK","248000","5000","2.06","1.8389034E7"
"066570","LG전자","105000","-1000","-0.94","1.718302E7"
"011200","HMM","32450","500","1.56","1.5869332E7"
"015760","한국전력","23350","50","0.21","1.4989861E7"
"086790","하나금융지주","49500","0","0.00","1.4647222E7"
"377300","카카오페이","105500","-3000","-2.76","1.397677E7"
"032830","삼성생명","68100","-600","-0.87","1.362E7"
"034020","두산에너빌리티","20750","500","2.47","1.3118461E7"
"010950","S-Oil","116000","3500","3.11","1.3059604E7"
"259960","크래프톤","259500","500","0.19","1.2734196E7"
"017670","SK텔레콤","57100","0","0.00","1.2495373E7"
"003550","LG","80200","-1700","-2.08","1.261554E7"
"033780","KT&G","85000","1000","1.19","1.1669862E7"
"009150","삼성전기","154500","1000","0.65","1.1540176E7"
"018260","삼성에스디에스","148500","-500","-0.34","1.1490603E7"
"051900","LG생활건강","734000","14000","1.94","1.1463757E7"
"010130","고려아연","595000","14000","2.41","1.122765E7"
"316140","우리금융지주","14900","-50","-0.33","1.0848102E7"
"329180","현대중공업","119000","-500","-0.42","1.0564001E7"
"302440","SK바이오사이언스","135500","1000","0.74","1.0404238E7"
"036570","엔씨소프트","455000","-1000","-0.22","9989080.0"
"003490","대한항공","29050","-350","-1.19","1.0104195E7"
"003670","포스코케미칼","130500","-1500","-1.14","1.010895E7"
"030200","KT","37900","200","0.53","9896138.0"
"352820","하이브","231000","3000","1.32","9552632.0"
"090430","아모레퍼시픽","163500","2000","1.24","9563566.0"
"000810","삼성화재","199000","0","0.00","9427593.0"
"011070","LG이노텍","385000","7500","1.99","9111836.0"
"361610","SK아이이테크놀로지","126000","4000","3.28","8983497.0"
"024110","기업은행","11250","0","0.00","8373382.0"
"086280","현대글로비스","212000","5500","2.66","7950000.0"
"009830","한화솔루션","39050","2250","6.11","7469425.0"
"251270","넷마블","83500","1500","1.83","7177117.0"
"011170","롯데케미칼","204500","-2500","-1.21","7009323.0"
"326030","SK바이오팜","86700","-1200","-1.37","6789759.0"
"009540","한국조선해양","91400","1400","1.56","6468663.0"
"034220","LG디스플레이","17350","50","0.29","6208102.0"
"018880","한온시스템","11450","150","1.33","6112010.0"
"032640","LG유플러스","13850","50","0.36","6047067.0"
"011790","SKC","161000","7000","4.55","6096796.0"
"035250","강원랜드","28100","300","1.08","6011728.0"
"097950","CJ제일제당","393500","-1000","-0.25","5923822.0"
"004020","현대제철","41250","-50","-0.12","5504639.0"
"021240","코웨이","71500","200","0.28","5276673.0"
"010140","삼성중공업","5930","160","2.77","5218400.0"
"047810","한국항공우주","52500","700","1.35","5117443.0"
"006800","미래에셋증권","8160","70","0.87","5020982.0"
"267250","HD현대","62500","2600","4.34","4937068.0"
"028050","삼성엔지니어링","24550","250","1.03","4811800.0"
"011780","금호석유","160000","1000","0.63","4847335.0"
"000720","현대건설","43300","850","2.00","4821705.0"
"005830","DB손해보험","65000","-200","-0.31","4602000.0"
"000100","유한양행","60400","200","0.33","4423181.0"
"161390","한국타이어앤테크놀로지","35650","550","1.57","4416146.0"
"078930","GS","45400","850","1.91","4218358.0"
"036460","한국가스공사","44350","650","1.49","4094082.0"
"003410","쌍용C&E","7810","10","0.13","3935143.0"
"071050","한국금융지주","71600","400","0.56","3989981.0"
"029780","삼성카드","34050","350","1.04","3944995.0"
