종목코드,종목명,종가,대비,등락률,상장시가총액
"091990","셀트리온헬스케어","70500","-800","-1.12","1.1149919E7"
"247540","에코프로비엠","111500","-5500","-4.70","1.090485E7"
"066970","엘앤에프","207500","-5500","-2.58","7455395.0"
"028300","HLB","42800","250","0.59","4574581.0"
"293490","카카오게임즈","49400","-2100","-4.08","3887740.0"
"263750","펄어비스","51800","-700","-1.33","3327417.0"
"068760","셀트리온제약","77200","-1000","-1.28","2908977.0"
"196170","알테오젠","65000","200","0.31","2784677.0"
"096530","씨젠","46400","-600","-1.28","2423286.0"
"278280","천보","222900","-2800","-1.24","2229000.0"
"253450","스튜디오드래곤","72800","-2800","-3.70","2185033.0"
"035760","CJ ENM","99500","-400","-0.40","2181951.0"
"112040","위메이드","60000","-1700","-2.76","2014407.0"
"058470","리노공업","129600","4000","3.18","1975411.0"
"086520","에코프로","80000","4300","5.68","1956070.0"
"035900","JYP Ent.","55100","-200","-0.36","1955912.0"
"237690","에스티팜","93300","400","0.43","1754859.0"
"005290","동진쎄미켐","33250","800","2.47","1709532.0"
"357780","솔브레인","217500","600","0.28","1691838.0"
"041510","에스엠","69800","-700","-0.99","1660430.0"
"108320","LX세미콘","90200","-200","-0.22","1467040.0"
"145020","휴젤","114200","-8300","-6.78","1414419.0"
"056190","에스에프에이","38850","100","0.26","1395055.0"
"240810","원익IPS","28450","350","1.25","1396437.0"
"007390","네이처셀","21750","400","1.87","1362358.0"
"064760","티씨케이","116500","100","0.09","1360138.0"
"225570","넥슨게임즈","20000","800","4.17","1314929.0"
"025900","동화기업","61900","-1200","-1.90","1250453.0"
"195940","HK이노엔","41950","400","0.96","1212544.0"
"222800","심텍","38100","550","1.46","1213643.0"
"067630","HLB생명과학","12550","-100","-0.79","1198501.0"
"298380","에이비엘바이오","25000","-350","-1.38","1191450.0"
"034230","파라다이스","12650","-100","-0.78","1150425.0"
"048410","현대바이오","28850","2050","7.65","1139829.0"
"032500","케이엠더블유","28350","650","2.35","1128922.0"
"141080","레고켐바이오","46000","50","0.11","1117950.0"
"214370","케어젠","97500","2600","2.74","1047443.0"
"078600","대주전자재료","64800","-900","-1.37","1003142.0"
"122870","와이지엔터테인먼트","53500","0","0.00","995778.0"
"144510","지씨셀","60000","-300","-0.50","948021.0"
"214150","클래시스","14700","-550","-3.61","952218.0"
"067160","아프리카TV","82100","-700","-0.85","943720.0"
"064550","바이오니아","36850","250","0.68","951109.0"
"137400","피엔티","41000","-150","-0.36","932389.0"
"098460","고영","13550","700","5.45","930272.0"
"039030","이오테크닉스","76400","2300","3.10","941214.0"
"299900","위지윅스튜디오","21700","-100","-0.46","927940.0"
"078340","컴투스","71900","-2200","-2.97","925096.0"
"215200","메가스터디교육","75900","-1300","-1.68","900317.0"
"003380","하림지주","7940","-100","-1.24","889325.0"
"030190","NICE평가정보","14600","100","0.69","886436.0"
"090460","비에이치","25550","300","1.19","880565.0"
"086450","동국제약","19550","150","0.77","869193.0"
"215000","골프존","138500","1200","0.87","869145.0"
"053800","안랩","87400","-3100","-3.43","875211.0"
"095700","제넥신","34250","250","0.74","861010.0"
"036540","SFA반도체","5200","0","0.00","855194.0"
"085660","차바이오텍","15150","0","0.00","852465.0"
"256840","한국비엔씨","12650","400","3.27","853690.0"
"222080","씨아이에스","13700","-100","-0.72","841694.0"
"039200","오스코텍","28000","250","0.90","845783.0"
"166090","하나머티리얼즈","42000","600","1.45","829612.0"
"022100","포스코 ICT","5210","-170","-3.16","792101.0"
"036930","주성엔지니어링","16100","500","3.21","776812.0"
"000250","삼천당제약","33550","800","2.44","763868.0"
"086900","메디톡스","114800","-1700","-1.46","752637.0"
"121600","나노신소재","70000","-500","-0.71","759383.0"
"200130","콜마비앤에이치","25950","-700","-2.63","766655.0"
"213420","덕산네오룩스","30900","-600","-1.90","767283.0"
"068240","다원시스","21150","-350","-1.63","733070.0"
"290650","엘앤씨바이오","31500","-150","-0.47","714574.0"
"084850","아이티엠반도체","31650","-150","-0.47","717757.0"
"084990","헬릭스미스","18650","-350","-1.84","702906.0"
"348370","엔켐","45050","-950","-2.07","691088.0"
"100090","삼강엠앤티","19000","-700","-3.55","704457.0"
"084370","유진테크","29500","-50","-0.17","676023.0"
"272290","이녹스첨단소재","33300","150","0.45","670184.0"
"131290","티에스이","58900","1100","1.90","651518.0"
"214450","파마리서치","64400","-2000","-3.01","651208.0"
"206650","유바이오로직스","17800","550","3.19","648718.0"
"074600","원익QnC","24400","400","1.67","641427.0"
"140860","파크시스템스","92100","2800","3.14","639594.0"
"323990","박셀바이오","41700","-300","-0.71","634799.0"
"268600","셀리버리","36750","100","0.27","637017.0"
"151910","SBW생명과학","3605","90","2.56","638568.0"
"046890","서울반도체","10600","50","0.47","618037.0"
"182400","엔케이맥스","15000","-400","-2.60","594707.0"
"067310","하나마이크론","12600","100","0.80","603815.0"
"140410","메지온","22150","2600","13.30","592336.0"
"383310","에코프로에이치엔","38150","-150","-0.39","583883.0"
"290510","코리아센터","5150","-80","-1.53","589852.0"
"025980","아난티","6580","-40","-0.60","568702.0"
"319660","피에스케이","38700","-100","-0.26","571406.0"
"218410","RFHIC","21550","250","1.17","577248.0"
"033290","코웰패션","6200","-10","-0.16","548701.0"
"235980","메드팩토","26500","0","0.00","558234.0"
"189300","인텔리안테크","60700","-300","-0.49","557449.0"
"178320","서진시스템","14900","0","0.00","559952.0"
"194480","데브시스터즈","46000","-2200","-4.56","544049.0"
"082270","젬백스","13150","50","0.38","523539.0"
"060250","NHN한국사이버결제","12900","-150","-1.15","518072.0"
"092040","아미코젠","24500","250","1.03","483990.0"
"064260","다날","7150","-130","-1.79","492986.0"
"091700","파트론","8120","30","0.37","478416.0"
"053030","바이넥스","15150","-200","-1.30","481180.0"
"038540","상상인","8370","-190","-2.22","463098.0"
"183300","코미코","45900","1200","2.68","459939.0"
"089980","상아프론테크","29100","150","0.52","465281.0"
"041190","우리기술투자","5220","-50","-0.95","438480.0"
"041960","코미팜","7010","30","0.43","449943.0"
"267980","매일유업","57400","-1100","-1.88","450225.0"
"121800","비덴트","8490","-300","-3.41","435715.0"
"243070","휴온스","36700","150","0.41","438035.0"
"060720","KH바텍","18600","450","2.48","440400.0"
"006730","서부T&D","6960","-180","-2.52","420382.0"
"131970","두산테스나","29000","350","1.22","428028.0"
"038500","삼표시멘트","3895","55","1.43","420334.0"
"033640","네패스","18500","200","1.09","426595.0"
"110790","크리스에프앤씨","34650","-350","-1.00","405941.0"
"101490","에스앤에스텍","18950","0","0.00","406505.0"
"036830","솔브레인홀딩스","19200","400","2.13","402510.0"
"029960","코엔텍","7810","-110","-1.39","390500.0"
"032190","다우데이타","9920","-50","-0.50","379936.0"
"060150","인선이엔티","8230","-60","-0.72","383219.0"
"293780","압타바이오","17000","550","3.34","379081.0"
"102710","이엔에프테크놀로지","26100","200","0.77","372913.0"
"095610","테스","19100","50","0.26","377573.0"
"015750","성우하이텍","4500","0","0.00","360000.0"
"035600","KG이니시스","13050","-300","-2.25","364153.0"
"048530","인트론바이오","10800","-50","-0.46","368828.0"
"104830","원익머트리얼즈","28900","50","0.17","364371.0"
"078020","이베스트투자증권","6500","40","0.62","360628.0"
"086390","유니테스트","16900","450","2.74","357167.0"
"104480","티케이케미칼","3970","-15","-0.38","360855.0"
"058820","CMG제약","2670","10","0.38","370842.0"
"061970","엘비세미콘","8100","70","0.87","354655.0"
"027360","아주IB투자","2760","30","1.10","333471.0"
"036810","에프에스티","14250","100","0.71","310034.0"
"294570","쿠콘","31200","0","0.00","314861.0"
"088800","에이스테크","7200","130","1.84","323468.0"
"078130","국일제지","2495","-25","-0.99","318406.0"
"023410","유진기업","3685","-35","-0.94","284891.0"
"092190","서울바이오시스","7400","520","7.56","282855.0"
"080160","모두투어","14900","-300","-1.97","281610.0"
"030530","원익홀딩스","3745","20","0.54","289256.0"
"035080","그래디언트","17650","-200","-1.12","274062.0"
"131370","알서포트","5160","-20","-0.39","274858.0"
"042000","카페24","12300","50","0.41","276716.0"
"265520","AP시스템","16800","150","0.90","256728.0"
"052400","코나아이","16300","-250","-1.51","253614.0"
