종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","60000","2500","4.35","3.58186953E8"
"373220","LG에너지솔루션","400000","500","0.13","9.36E7"
"000660","SK하이닉스","98700","4700","5.00","7.1853833E7"
"207940","삼성바이오로직스","817000","-8000","-0.97","5.8149158E7"
"005380","현대차","183500","1000","0.55","3.9208112E7"
"035420","NAVER","231000","-2500","-1.07","3.7895339E7"
"006400","삼성SDI","548000","7000","1.29","3.7682962E7"
"051910","LG화학","512000","-18000","-3.40","3.614328E7"
"000270","기아","79100","300","0.38","3.2064241E7"
"035720","카카오","70100","-2000","-2.77","3.1190875E7"
"068270","셀트리온","186500","-2500","-1.32","2.6253204E7"
"028260","삼성물산","113000","0","0.00","2.111824E7"
"012330","현대모비스","211500","0","0.00","2.0002209E7"
"005490","POSCO홀딩스","224000","1000","0.45","1.9529851E7"
"105560","KB금융","44050","-1300","-2.87","1.8164127E7"
"055550","신한지주","33400","-600","-1.76","1.7132E7"
"096770","SK이노베이션","170500","-2000","-1.16","1.5765379E7"
"034730","SK","210500","4000","1.94","1.5608434E7"
"066570","LG전자","90900","700","0.78","1.4875586E7"
"323410","카카오뱅크","29900","-1000","-3.24","1.4240845E7"
"015760","한국전력","21500","0","0.00","1.3802228E7"
"003550","LG","75900","-100","-0.13","1.1939145E7"
"017670","SK텔레콤","53500","-1400","-2.55","1.1707573E7"
"259960","크래프톤","235500","-9500","-3.88","1.1556467E7"
"032830","삼성생명","57000","-800","-1.38","1.14E7"
"051900","LG생활건강","711000","-9000","-1.25","1.1104538E7"
"033780","KT&G","81200","200","0.25","1.1148151E7"
"034020","두산에너빌리티","17450","-350","-1.97","1.1049377E7"
"011200","HMM","22500","-1000","-4.26","1.1003389E7"
"302440","SK바이오사이언스","137000","-13000","-8.67","1.0519414E7"
"009150","삼성전기","139000","7000","5.30","1.0382424E7"
"018260","삼성에스디에스","130500","0","0.00","1.0097803E7"
"329180","현대중공업","114000","-1000","-0.87","1.0120135E7"
"010950","S-Oil","88900","-1700","-1.88","1.000861E7"
"086790","하나금융지주","33850","-950","-2.73","1.0016333E7"
"030200","KT","36600","-350","-0.95","9556692.0"
"000810","삼성화재","195500","-1500","-0.76","9261781.0"
"003490","대한항공","24350","-500","-2.01","8966173.0"
"377300","카카오페이","66200","-1900","-2.79","8773415.0"
"010130","고려아연","450000","-2000","-0.44","8491500.0"
"003670","포스코케미칼","109000","-1000","-0.91","8443491.0"
"036570","엔씨소프트","363500","-4000","-1.09","7980287.0"
"316140","우리금융지주","11000","-300","-2.65","8008666.0"
"011070","LG이노텍","341000","1500","0.44","8070483.0"
"090430","아모레퍼시픽","133500","-1000","-0.74","7808783.0"
"086280","현대글로비스","181000","-1500","-0.82","6787500.0"
"024110","기업은행","8880","-150","-1.66","6609389.0"
"352820","하이브","156500","-7000","-4.28","6471805.0"
"326030","SK바이오팜","78100","300","0.39","6116265.0"
"009830","한화솔루션","32000","-950","-2.88","6120912.0"
"251270","넷마블","68400","100","0.15","5879220.0"
"097950","CJ제일제당","397500","-4500","-1.12","5984039.0"
"402340","SK스퀘어","40350","550","1.38","5708216.0"
"361610","SK아이이테크놀로지","81800","-1700","-2.04","5832143.0"
"009540","한국조선해양","79700","-600","-0.75","5640617.0"
"011170","롯데케미칼","166000","-3500","-2.06","5689720.0"
"034220","LG디스플레이","15200","400","2.70","5438799.0"
"383220","F&F","140500","4500","3.31","5382144.0"
"018880","한온시스템","10050","60","0.60","5364690.0"
"035250","강원랜드","24600","550","2.29","5262936.0"
"032640","LG유플러스","11950","-200","-1.65","5217506.0"
"137310","에스디바이오센서","47000","-900","-1.88","4853754.0"
"021240","코웨이","65400","-1200","-1.80","4826495.0"
"011790","SKC","125000","-3000","-2.34","4733537.0"
"010140","삼성중공업","5260","-20","-0.38","4628800.0"
"047810","한국항공우주","48500","200","0.41","4727543.0"
"000720","현대건설","37000","-600","-1.60","4120163.0"
"000100","유한양행","57300","-200","-0.35","4196164.0"
"271560","오리온","106500","-500","-0.47","4210598.0"
"005830","DB손해보험","58400","-1700","-2.83","4134720.0"
"004020","현대제철","31400","-250","-0.79","4190198.0"
"267250","HD현대","51100","-400","-0.78","4036547.0"
"128940","한미약품","314000","3000","0.96","3867843.0"
"180640","한진칼","58500","-700","-1.18","3905534.0"
"161390","한국타이어앤테크놀로지","31650","750","2.43","3920646.0"
"000060","메리츠화재","30800","-850","-2.69","3715250.0"
"006800","미래에셋증권","6000","-100","-1.64","3691898.0"
"028050","삼성엔지니어링","18600","-400","-2.11","3645600.0"
"078930","GS","38700","-450","-1.15","3595825.0"
"011780","금호석유","118500","-5000","-4.05","3590058.0"
"029780","삼성카드","29750","-250","-0.83","3446802.0"
"004990","롯데지주","32500","-450","-1.37","3409550.0"
"010620","현대미포조선","79500","-700","-0.87","3175401.0"
"282330","BGF리테일","185500","-2500","-1.33","3206165.0"
"071050","한국금융지주","56600","-1400","-2.41","3154091.0"
"020150","일진머티리얼즈","68400","-200","-0.29","3153981.0"
"002790","아모레G","37050","-850","-2.24","3055076.0"
"003410","쌍용C&E","6210","50","0.81","3128968.0"
"138040","메리츠금융지주","23250","-1550","-6.25","2995490.0"
"036460","한국가스공사","33200","-1450","-4.18","3064792.0"
"005940","NH투자증권","9210","170","1.88","3054643.0"
"001450","현대해상","31950","-150","-0.47","2856330.0"
"241560","두산밥캣","28700","-300","-1.03","2877151.0"
"139480","이마트","101500","0","0.00","2829396.0"
"008560","메리츠증권","4265","-100","-2.29","2728366.0"
"008770","호텔신라","67600","-300","-0.44","2653173.0"
"028670","팬오션","5170","-110","-2.08","2763724.0"
"010060","OCI","116000","-1500","-1.28","2766527.0"
"016360","삼성증권","31300","-100","-0.32","2795090.0"
"008930","한미사이언스","40100","50","0.12","2751810.0"
"000120","CJ대한통운","111500","-3500","-3.04","2543576.0"
"030000","제일기획","21750","-150","-0.68","2502147.0"
"023530","롯데쇼핑","88800","-1300","-1.44","2512041.0"
"002380","KCC","265000","-10500","-3.81","2354915.0"
"006360","GS건설","27700","-600","-2.12","2370607.0"
"007070","GS리테일","23700","-400","-1.66","2481815.0"
"204320","만도","52400","1700","3.35","2460553.0"
"014680","한솔케미칼","216000","2500","1.17","2448402.0"
"026960","동서","24850","-250","-1.00","2477545.0"
"052690","한전기술","64400","-900","-1.38","2461368.0"
"012750","에스원","63100","100","0.16","2397748.0"
"001040","CJ","77500","-400","-0.51","2261217.0"
"272210","한화시스템","12250","-150","-1.21","2314263.0"
"047050","포스코인터내셔널","17900","-250","-1.38","2208415.0"
"012450","한화에어로스페이스","43250","-50","-0.12","2189748.0"
"000080","하이트진로","29300","-550","-1.84","2054915.0"
"001440","대한전선","1625","-20","-1.22","2022269.0"
"004170","신세계","209000","-2000","-0.95","2057643.0"
"006280","녹십자","184000","-500","-0.27","2150323.0"
"138930","BNK금융지주","6240","-140","-2.19","2033836.0"
"047040","대우건설","5120","-120","-2.29","2127988.0"
"064350","현대로템","19200","700","3.78","2095532.0"
"069620","대웅제약","178500","1500","0.85","2068204.0"
"042660","대우조선해양","19300","-50","-0.26","2070710.0"
