일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/07/15","4833.14","32.59","0.68","4830.37","4836.85","4745.72","85878.0","5165993.0","1.471144248E9"
"2022/07/14","4800.55","-19.68","-0.41","4792.35","4838.32","4772.45","79616.0","4916163.0","1.454025316E9"
"2022/07/13","4820.23","31.84","0.66","4806.05","4848.13","4790.71","74268.0","4461088.0","1.458813173E9"
"2022/07/12","4788.39","-45.31","-0.94","4811.25","4821.68","4760.16","69774.0","3945173.0","1.451412054E9"
"2022/07/11","4833.70","-31.00","-0.64","4876.21","4890.03","4828.28","68602.0","4296275.0","1.462416942E9"
"2022/07/08","4864.70","29.45","0.61","4876.22","4906.35","4861.71","83144.0","5194309.0","1.468622609E9"
"2022/07/07","4835.25","92.22","1.94","4775.87","4863.00","4774.32","95732.0","5791501.0","1.45804518E9"
"2022/07/06","4743.03","-99.58","-2.06","4812.62","4829.49","4737.42","118726.0","6757522.0","1.429300839E9"
"2022/07/05","4842.61","89.81","1.89","4802.48","4854.90","4776.66","82318.0","5262462.0","1.457850566E9"
"2022/07/04","4752.80","1.16","0.02","4760.02","4781.57","4703.65","91416.0","4996931.0","1.431340223E9"
"2022/07/01","4751.64","-55.09","-1.15","4830.22","4859.04","4719.24","101133.0","6092786.0","1.430597499E9"
"2022/06/30","4806.73","-89.37","-1.83","4872.03","4877.75","4806.73","105758.0","6423457.0","1.449761741E9"
"2022/06/29","4896.10","-103.97","-2.08","4922.76","4936.15","4890.38","95111.0","5800942.0","1.479040746E9"
"2022/06/28","5000.07","40.38","0.81","4966.04","5000.07","4937.77","82886.0","4803662.0","1.510883355E9"
"2022/06/27","4959.69","66.43","1.36","4930.32","5005.20","4895.99","96046.0","5825114.0","1.499171536E9"
"2022/06/24","4893.26","107.79","2.25","4818.58","4913.25","4800.15","97585.0","5978436.0","1.488510014E9"
"2022/06/23","4785.47","-39.90","-0.83","4834.67","4873.63","4766.01","142451.0","7404401.0","1.457556075E9"
"2022/06/22","4825.37","-128.03","-2.58","4969.91","4972.24","4825.37","114075.0","5969939.0","1.470666782E9"
"2022/06/21","4953.40","33.79","0.69","4944.53","4989.64","4908.86","88828.0","5188894.0","1.508609369E9"
"2022/06/20","4919.61","-85.33","-1.70","5027.26","5029.89","4876.53","103847.0","5999539.0","1.498520446E9"
"2022/06/17","5004.94","-26.82","-0.53","4939.42","5015.84","4915.63","142673.0","8151608.0","1.526452617E9"
"2022/06/16","5031.76","2.37","0.05","5104.23","5137.34","5020.61","92047.0","6262478.0","1.531962568E9"
"2022/06/15","5029.39","-93.95","-1.83","5116.45","5125.80","4999.05","100247.0","6764337.0","1.528423734E9"
"2022/06/14","5123.34","-21.22","-0.41","5079.45","5136.61","5041.84","104353.0","6645300.0","1.555845799E9"
"2022/06/13","5144.56","-187.07","-3.51","5233.06","5237.29","5144.35","100564.0","6370514.0","1.559850864E9"
"2022/06/10","5331.63","-74.95","-1.39","5338.46","5353.49","5311.98","81327.0","5499464.0","1.61494015E9"
"2022/06/09","5406.58","9.62","0.18","5383.85","5410.45","5359.86","113527.0","7558130.0","1.635124986E9"
"2022/06/08","5396.96","11.28","0.21","5400.45","5427.82","5384.59","72660.0","5356257.0","1.633450923E9"
"2022/06/07","5385.68","-103.35","-1.88","5457.25","5465.12","5375.98","81600.0","6021073.0","1.633081619E9"
"2022/06/03","5489.03","19.92","0.36","5516.54","5522.44","5477.80","57726.0","4077884.0","1.66266622E9"
"2022/06/02","5469.11","-65.43","-1.18","5500.27","5507.98","5453.90","79684.0","5131223.0","1.656370138E9"
"2022/05/31","5534.54","40.32","0.73","5484.43","5535.64","5456.07","159970.0","1.0434189E7","1.67523654E9"
"2022/05/30","5494.22","66.96","1.23","5481.57","5500.70","5455.73","80034.0","5013786.0","1.663543356E9"
"2022/05/27","5427.26","57.71","1.07","5435.69","5445.74","5412.25","70960.0","4860944.0","1.642617894E9"
"2022/05/26","5369.55","-21.66","-0.40","5391.89","5445.28","5344.03","84477.0","5711568.0","1.626914245E9"
"2022/05/25","5391.21","27.01","0.50","5402.01","5421.96","5357.61","77091.0","5351333.0","1.630789647E9"
"2022/05/24","5364.20","-99.66","-1.82","5443.17","5455.01","5364.20","84810.0","5252645.0","1.623788954E9"
"2022/05/23","5463.86","16.49","0.30","5475.49","5479.59","5434.54","72288.0","4764898.0","1.651373964E9"
"2022/05/20","5447.37","104.13","1.95","5373.35","5452.82","5369.65","80479.0","5511878.0","1.645794326E9"
"2022/05/19","5343.24","-82.38","-1.52","5309.20","5359.47","5300.90","97515.0","5851321.0","1.612445342E9"
